turn,inputTokens,cacheReadTokens,请求量_in加cacheRead,outputTokens,reasoningTokens
163,71,37760,37831,330,98
164,28,38144,38172,241,80
165,24,38400,38424,268,80
166,45,38656,38701,220,90
167,18,38912,38930,168,52
168,67,39040,39107,87,50
169,40,39168,39208,116,70
170,37,39296,39333,152,53
171,78,39424,39502,205,70
172,34,39680,39714,136,54
173,60,39808,39868,138,62
174,93,39936,40029,433,177
175,28,40448,40476,374,135
176,29,40832,40861,254,70
177,39,41088,41127,245,95
178,43,41344,41387,313,94
179,111,41600,41711,192,64
180,63,41856,41919,361,129
181,51,42240,42291,158,70
182,91,42368,42459,144,62
183,115,42496,42611,136,46
184,135,42624,42759,110,54
185,131,42752,42883,108,70
186,120,42880,43000,164,53
187,59,43136,43195,113,67
188,60,43264,43324,145,83
189,84,43392,43476,104,47
190,76,43520,43596,137,60
191,117,43648,43765,459,179
192,79,44160,44239,314,101
193,25,44544,44569,323,99
194,100,44800,44900,107,55
195,88,44928,45016,110,59
196,94,45056,45150,233,93
197,80,45312,45392,172,61
198,146,45440,45586,354,110
199,129,45824,45953,303,84
200,58,46208,46266,240,77
201,51,46464,46515,188,87
202,118,46592,46710,275,56
203,18,46976,46994,171,66
204,68,47104,47172,168,44
205,126,47232,47358,393,143
206,22,47744,47766,382,107
207,51,48128,48179,394,92
208,463,48128,48591,409,175
209,114,48896,49010,105,63
210,99,49024,49123,100,56
211,85,49152,49237,112,61
212,80,49280,49360,155,60
213,116,49408,49524,171,75
214,40,49664,49704,195,50
215,121,49792,49913,109,58
216,109,49920,50029,164,49
217,292,49920,50212,94,54
218,9,50304,50313,165,74
219,64,50432,50496,133,63
220,76,50560,50636,158,72
221,123,50688,50811,122,54
222,125,50816,50941,251,73
223,131,51072,51203,250,71
224,141,51328,51469,152,62
225,45,51584,51629,171,76
226,95,51712,51807,263,60
227,112,51968,52080,167,75
228,33,52224,52257,305,99
229,109,52480,52589,298,145
230,42,52864,52906,318,112
231,116,53120,53236,341,114
232,94,53504,53598,229,89
233,78,53760,53838,131,55
234,90,53888,53978,263,60
235,112,54144,54256,170,69
236,38,54400,54438,214,79
237,136,54528,54664,142,71
238,31,54784,54815,156,62
239,66,54912,54978,184,44
240,135,55040,55175,259,97
241,26,55424,55450,264,160
242,45,55680,55725,217,86
243,16,55936,55952,209,76
244,105,56064,56169,124,49
245,113,56192,56305,163,64
246,29,56448,56477,159,50
247,70,56576,56646,103,49
248,60,56704,56764,182,71
249,130,56832,56962,210,105
250,98,57088,57186,106,58
251,88,57216,57304,274,71
252,113,57472,57585,85,47
253,82,57600,57682,179,60
254,271,57600,57871,94,48
255,119,57856,57975,111,61
256,109,57984,58093,107,47
257,104,58112,58216,171,104
258,30,58368,58398,311,106
259,94,58624,58718,419,174
260,24,59136,59160,194,76
261,103,59264,59367,221,78
262,79,59520,59599,184,91
263,14,59776,59790,220,61
264,116,59904,60020,264,68
265,133,60160,60293,143,63
266,27,60416,60443,99,45
267,136,60416,60552,218,92
268,112,60672,60784,250,108
269,116,60928,61044,152,62
270,19,61184,61203,111,48
271,16,61312,61328,100,58
272,123,61312,61435,163,49
273,49,61568,61617,97,54
274,28,61696,61724,252,68
275,34,61952,61986,130,58
276,46,62080,62126,138,66
277,63,62208,62271,102,44
278,55,62336,62391,138,65
279,72,62464,62536,102,45
280,58,62592,62650,127,61
281,73,62720,62793,114,63
282,87,62848,62935,376,153
283,88,63232,63320,233,65
284,101,63488,63589,356,112
285,109,63872,63981,242,88
286,123,64128,64251,288,92
287,39,64512,64551,120,55
288,40,64640,64680,246,59
289,37,64896,64933,103,53
290,25,65024,65049,167,66
291,71,65152,65223,228,54
292,52,65408,65460,120,57
293,80,65536,65616,140,84
294,99,65664,65763,93,44
295,77,65792,65869,256,90
296,90,66048,66138,186,78
297,41,66304,66345,178,78
298,101,66432,66533,194,70
299,50,66688,66738,204,86
300,133,66816,66949,214,70
301,109,67072,67181,138,68
302,131,67200,67331,203,74
303,99,67456,67555,178,76
304,28,67712,67740,150,75
305,71,67840,67911,145,81
306,95,67968,68063,105,44
307,86,68096,68182,99,58
308,65,68224,68289,124,68
309,79,68352,68431,160,72
310,120,68480,68600,132,63
311,137,68608,68745,188,74
312,86,68864,68950,136,54
313,107,68992,69099,175,64
314,36,69248,69284,166,69
315,86,69376,69462,141,64
316,112,69504,69616,130,69
317,128,69632,69760,290,101
318,60,70016,70076,260,124
319,71,70272,70343,225,45
320,55,70528,70583,164,80
321,105,70656,70761,99,58
322,83,70784,70867,163,49
